line number	chromosome	p	q	revative length	p/q arm ratio
1	1L	0.921	1.3615	2.2825	0.68
2	1L	0.905	1.2395	2.1445	0.73
3	1S	0.7885	1.0775	1.866	0.73
4	1S	0.722	1.1205	1.8425	0.64
5	2L	0.662	1.1885	1.8505	0.56
6	2L	0.707	1.038	1.745	0.68
7	2S	0.6585	1.024	1.6825	0.64
8	2S	0.525	0.9525	1.4775	0.55
9	3L	0.4125	1.1015	1.514	0.37
10	3L	0.3405	1.0375	1.378	0.33
11	3S	0.243	1.3295	1.5725	0.18
12	3S	0.2955	1.082	1.3775	0.27
13	4L	0.268	1.0295	1.2975	0.26
14	4L	0.2835	0.941	1.2245	0.30
15	4S	0.2475	0.8505	1.098	0.29
16	4S	0.4605	0.6205	1.081	0.74
17	5L	0.5535	1.0495	1.603	0.53
18	5L	0.4935	1.1045	1.598	0.45
19	5S	0.4905	0.825	1.3155	0.59
20	5S	0.403	0.816	1.219	0.49
21	6L	0.722	0.933	1.655	0.77
22	6L	0.666	0.707	1.373	0.94
23	6S	0.5775	0.862	1.4395	0.67
24	6S	0.631	0.8045	1.4355	0.78
25	7L	0.537	0.7655	1.3025	0.70
26	7L	0.516	0.7135	1.2295	0.72
27	7S	0.476	0.6605	1.1365	0.72
28	7S	0.441	0.5895	1.0305	0.75
29	8L	0.207	1.143	1.35	0.18
30	8L	0.2595	1.0115	1.271	0.26
31	8S	0.4695	0.517	0.9865	0.9081237911
32	8S	0.3425	0.5425	0.885	0.63
33	9_10L	0.258	1.027	1.285	0.25
34	9_10L	0.2685	1.0125	1.281	0.27
35	9_10S	0.238	0.9845	1.2225	0.24
36	9_10S	0.296	0.8125	1.1085	0.36
