line number	chromosome	p	q	revative length	p/q arm ratio
1	1L	1.196795069	1.723204931	2.92	0.69
2	1L	1.241	1.46	2.701	0.85
3	1S	1.048812912	1.754187088	2.803	0.60
4	1S	0.949313933	1.601686067	2.551	0.59
5	2L	1.068941176	1.527058824	2.596	0.7
6	2L	0.9223219456	1.667678054	2.59	0.55
7	2S	0.63525	1.44375	2.079	0.44
8	2S	0.5343634738	1.422636526	1.957	0.38
9	3L	0.3314254889	1.892574511	2.224	0.18
10	3L	0.336	1.68	2.016	0.2
11	3S	0.558962963	1.597037037	2.156	0.35
12	3S	0.4527596899	1.56124031	2.014	0.29
13	4L	0.3679070003	1.610093	1.978	0.23
14	4L	0.2689655172	1.681034483	1.95	0.16
15	4S	0.3394032488	1.414596751	1.754	0.24
16	4S	0.3329032258	1.387096774	1.72	0.24
17	5L	0.9068484848	1.395151515	2.302	0.65
18	5L	0.8533107119	1.400689288	2.254	0.61
19	5S	0.7663491124	1.110650888	1.877	0.69
20	5S	0.7225279503	1.18447205	1.907	0.61
21	6L	1.078269107	1.256730893	2.335	0.86
22	6L	1.04525521	1.08974479	2.135	0.96
23	6S	0.7513636364	0.9886363636	1.74	0.76
24	6S	0.5923093016	0.9606906984	1.553	0.62
25	7L	0.7738181818	1.018181818	1.792	0.76
26	7L	0.732005848	1.030994152	1.763	0.71
27	7S	0.5127984283	0.7592015717	1.272	0.68
28	7S	0.5837585779	0.6252414221	1.209	0.93
29	8L	0.239862069	1.499137931	1.739	0.16
30	8L	0.3358921348	1.221107865	1.557	0.28
31	8S	0.4808571429	0.6411428571	1.122	0.75
32	8S	0.4355238095	0.6404761905	1.076	0.68
33	9_10L	0.34125	1.21875	1.56	0.28
34	9_10L	0.2844006981	1.147599302	1.432	0.25
35	9_10S	0.2893333333	1.446666667	1.736	0.2
36	9_10S	0.1474477876	1.264552212	1.412	0.12
