line number	chromosome	p	q	revative length	p/q arm ratio
1	1L	0.8765	1.0985	1.975	0.80
2	1L	0.852	1.064	1.916	0.80
3	1S	0.799	1.066	1.865	0.75
4	1S	0.701	1.013	1.714	0.69
5	2L	0.678	0.979	1.657	0.69
6	2L	0.6745	0.9215	1.596	0.73
7	2S	0.5945	0.979	1.5735	0.61
8	2S	0.535	0.891	1.426	0.60
9	3L	0.2865	1.008	1.2945	0.28
10	3L	0.247	1.0385	1.2855	0.24
11	3S	0.3095	0.9835	1.293	0.31
12	3S	0.2725	0.872	1.1445	0.31
13	4L	0.413	0.93	1.343	0.44
14	4L	0.447	0.9415	1.3885	0.47
15	4S	0.2995	0.922	1.2215	0.32
16	4S	0.258	0.917	1.175	0.28
17	5L	0.444	0.7055	1.1495	0.63
18	5L	0.451	0.8955	1.3465	0.50
19	5S	0.508	0.7225	1.2305	0.70
20	5S	0.511	0.6665	1.1775	0.77
21	6L	0.7405	0.754	1.4945	0.98
22	6L	0.7045	0.7065	1.411	1.00
23	6S	0.624	0.665	1.289	0.94
24	6S	0.5475	0.727	1.2745	0.75
25	7L	0.499	0.7245	1.2235	0.69
26	7L	0.468	0.624	1.092	0.75
27	7S	0.4265	0.534	0.9605	0.80
28	7S	0.3865	0.5075	0.894	0.76
29	8L	0.2635	0.858	1.1215	0.31
30	8L	0.1935	0.78	0.9735	0.25
31	8S	0.3785	0.4805	0.859	0.79
32	8S	0.3895	0.401	0.7905	0.97
33	9_10L	0.2725	0.9425	1.215	0.29
34	9_10L	0.282	0.8595	1.1415	0.33
35	9_10S	0.315	0.7215	1.0365	0.44
36	9_10S	0.2615	0.7735	1.035	0.34
