line number	chromosome	p	q	revative length	p/q arm ratio
1	1L	1.015586207	1.372413793	2.388	0.74
2	1L	0.7741656442	1.228834356	2.003	0.63
3	1S	0.7517484663	1.193251534	1.945	0.63
4	1S	0.671378882	1.100621118	1.772	0.61
5	2L	0.5562624113	1.356737589	1.913	0.41
6	2L	0.5123333333	1.024666667	1.537	0.50
7	2S	0.6982795031	1.144720497	1.843	0.61
8	2S	0.6338980892	1.112101911	1.746	0.57
9	3L	0.3109674797	1.35203252	1.663	0.23
10	3L	0.2506666667	1.253333333	1.504	0.20
11	3S	0.2804516129	1.168548387	1.449	0.24
12	3S	0.2543089431	1.105691057	1.36	0.23
13	4L	0.434	1.085	1.519	0.40
14	4L	0.3915	1.0875	1.479	0.36
15	4S	0.3194496124	1.101550388	1.421	0.29
16	4S	0.3079844961	1.062015504	1.37	0.29
17	5L	0.678686747	1.028313253	1.707	0.66
18	5L	0.7322359551	0.9387640449	1.671	0.78
19	5S	0.5943580247	0.9586419753	1.553	0.62
20	5S	0.6178245614	0.8701754386	1.488	0.71
21	6L	0.4293529412	1.192647059	1.622	0.36
22	6L	0.7728979592	0.8051020408	1.578	0.96
23	6S	0.6281904762	0.9238095238	1.552	0.68
24	6S	0.6360935673	0.8959064327	1.532	0.71
25	7L	0.5425116279	0.7534883721	1.296	0.72
26	7L	0.486619883	0.685380117	1.172	0.71
27	7S	0.4475882353	0.6394117647	1.087	0.70
28	7S	0.49	0.5579787234	1.049	0.88
29	8L	0.3014651163	1.039534884	1.341	0.29
30	8L	0.2744444444	1.055555556	1.33	0.26
31	8S	0.39	0.6018181818	0.993	0.65
32	8S	0.34	0.4905882353	0.834	0.70
33	9_10L	0.2113884298	1.00661157	1.218	0.21
34	9_10L	0.2053140496	0.9776859504	1.183	0.21
35	9_10S	0.247	0.95	1.197	0.26
36	9_10S	0.2208373984	0.9601626016	1.181	0.23
