line number	chromosome	p	q	revative length	p/q arm ratio
1	1L	1.071	1.41	2.481	0.76
2	1L	0.9415	1.283	2.2245	0.73
3	1S	0.9735	1.487	2.4605	0.65
4	1S	0.9565	1.487	2.4435	0.64
5	2L	0.841	1.3635	2.2045	0.62
6	2L	0.7865	1.3435	2.13	0.59
7	2S	0.7765	1.4705	2.247	0.53
8	2S	0.702	1.234	1.936	0.57
9	3L	0.559	1.414	1.973	0.40
10	3L	0.4875	1.464	1.9515	0.33
11	3S	0.331	1.4705	1.8015	0.23
12	3S	0.3985	1.3635	1.762	0.29
13	4L	0.5945	1.2745	1.869	0.47
14	4L	0.393	1.3255	1.7185	0.30
15	4S	0.3575	1.063	1.4205	0.34
16	4S	0.338	1.0745	1.4125	0.31
17	5L	0.7265	0.98	1.7065	0.74
18	5L	0.6805	0.939	1.6195	0.72
19	5S	0.6515	1.184	1.8355	0.55
20	5S	0.694	1.0005	1.6945	0.69
21	6L	0.975	0.985	1.96	0.99
22	6L	0.783	0.95	1.733	0.82
23	6S	0.7755	1.108	1.8835	0.70
24	6S	0.6935	0.935	1.6285	0.74
25	7L	0.725	0.858	1.583	0.84
26	7L	0.604	0.8435	1.4475	0.72
27	7S	0.538	0.7725	1.3105	0.70
28	7S	0.532	0.7125	1.2445	0.75
29	8L	0.3325	1.1785	1.511	0.28
30	8L	0.319	1.152	1.471	0.28
31	8S	0.4855	0.653	1.1385	0.74
32	8S	0.5035	0.5215	1.025	0.97
33	9_10L	0.2945	1.193	1.4875	0.25
34	9_10L	0.295	1.187	1.482	0.25
35	9_10S	0.34	1.061	1.401	0.32
36	9_10S	0.3635	1.033	1.3965	0.35
